[1][370/1410] acc_real: 0.015625, acc_fake: NA
[1][371/1410] acc_real: 0.0078125, acc_fake: NA
[1][372/1410] acc_real: 0.015625, acc_fake: NA
[1][373/1410] acc_real: 0.0078125, acc_fake: NA
[1][374/1410] acc_real: 0.0078125, acc_fake: NA
[1][375/1410] acc_real: 0.0234375, acc_fake: NA
[1][376/1410] acc_real: 0.0078125, acc_fake: NA
[1][377/1410] acc_real: 0.0078125, acc_fake: NA
[1][378/1410] acc_real: 0.0078125, acc_fake: NA
[1][379/1410] acc_real: 0.0234375, acc_fake: NA
[1][380/1410] acc_real: 0.0, acc_fake: NA
[1][381/1410] acc_real: 0.0078125, acc_fake: NA
[1][382/1410] acc_real: 0.0, acc_fake: NA
[1][383/1410] acc_real: 0.0, acc_fake: NA
[1][384/1410] acc_real: 0.0, acc_fake: NA
[1][385/1410] acc_real: 0.0, acc_fake: NA
[1][386/1410] acc_real: 0.015625, acc_fake: NA
[1][387/1410] acc_real: 0.0078125, acc_fake: NA
[1][388/1410] acc_real: 0.0234375, acc_fake: NA
[1][389/1410] acc_real: 0.0078125, acc_fake: NA
[1][390/1410] acc_real: 0.0, acc_fake: NA
[1][391/1410] acc_real: 0.0, acc_fake: NA
[1][392/1410] acc_real: 0.015625, acc_fake: NA
[1][393/1410] acc_real: 0.0, acc_fake: NA
[1][394/1410] acc_real: 0.015625, acc_fake: NA
[1][395/1410] acc_real: 0.0078125, acc_fake: NA
[1][396/1410] acc_real: 0.015625, acc_fake: NA
[1][397/1410] acc_real: 0.0078125, acc_fake: NA
[1][398/1410] acc_real: 0.0, acc_fake: NA
[1][399/1410] acc_real: 0.0, acc_fake: NA
[1][400/1410] acc_real: 0.015625, acc_fake: NA
[1][401/1410] acc_real: 0.015625, acc_fake: NA
[1][402/1410] acc_real: 0.0078125, acc_fake: NA
[1][403/1410] acc_real: 0.0078125, acc_fake: NA
[1][404/1410] acc_real: 0.0, acc_fake: NA
[1][405/1410] acc_real: 0.0, acc_fake: NA
[1][406/1410] acc_real: 0.0, acc_fake: NA
[1][407/1410] acc_real: 0.0078125, acc_fake: NA
[1][408/1410] acc_real: 0.0078125, acc_fake: NA
[1][409/1410] acc_real: 0.0234375, acc_fake: NA
[1][410/1410] acc_real: 0.015625, acc_fake: NA
[1][411/1410] acc_real: 0.0, acc_fake: NA
[1][412/1410] acc_real: 0.03125, acc_fake: NA
[1][413/1410] acc_real: 0.015625, acc_fake: NA
[1][414/1410] acc_real: 0.0078125, acc_fake: NA
[1][415/1410] acc_real: 0.0, acc_fake: NA
[1][416/1410] acc_real: 0.015625, acc_fake: NA
[1][417/1410] acc_real: 0.0, acc_fake: NA
[1][418/1410] acc_real: 0.015625, acc_fake: NA
[1][419/1410] acc_real: 0.0234375, acc_fake: NA
[1][420/1410] acc_real: 0.0078125, acc_fake: NA
[1][421/1410] acc_real: 0.0078125, acc_fake: NA
[1][422/1410] acc_real: 0.0078125, acc_fake: NA
[1][423/1410] acc_real: 0.0, acc_fake: NA
[1][424/1410] acc_real: 0.0078125, acc_fake: NA
[1][425/1410] acc_real: 0.015625, acc_fake: NA
[1][426/1410] acc_real: 0.015625, acc_fake: NA
[1][427/1410] acc_real: 0.0, acc_fake: NA
[1][428/1410] acc_real: 0.015625, acc_fake: NA
[1][429/1410] acc_real: 0.0234375, acc_fake: NA
[1][430/1410] acc_real: 0.015625, acc_fake: NA
[1][431/1410] acc_real: 0.0, acc_fake: NA
[1][432/1410] acc_real: 0.0078125, acc_fake: NA
[1][433/1410] acc_real: 0.0, acc_fake: NA
[1][434/1410] acc_real: 0.0, acc_fake: NA
[1][435/1410] acc_real: 0.0078125, acc_fake: NA
[1][436/1410] acc_real: 0.015625, acc_fake: NA
[1][437/1410] acc_real: 0.0078125, acc_fake: NA
[1][438/1410] acc_real: 0.015625, acc_fake: NA
[1][439/1410] acc_real: 0.0234375, acc_fake: NA
[1][440/1410] acc_real: 0.03125, acc_fake: NA
[1][441/1410] acc_real: 0.0078125, acc_fake: NA
[1][442/1410] acc_real: 0.0, acc_fake: NA
[1][443/1410] acc_real: 0.0, acc_fake: NA
[1][444/1410] acc_real: 0.0234375, acc_fake: NA
[1][445/1410] acc_real: 0.0078125, acc_fake: NA
[1][446/1410] acc_real: 0.0078125, acc_fake: NA
[1][447/1410] acc_real: 0.0078125, acc_fake: NA
[1][448/1410] acc_real: 0.0, acc_fake: NA
[1][449/1410] acc_real: 0.0078125, acc_fake: NA
[1][450/1410] acc_real: 0.0078125, acc_fake: NA
[1][451/1410] acc_real: 0.015625, acc_fake: NA
[1][452/1410] acc_real: 0.0, acc_fake: NA
[1][453/1410] acc_real: 0.0, acc_fake: NA
[1][454/1410] acc_real: 0.015625, acc_fake: NA
[1][455/1410] acc_real: 0.0, acc_fake: NA
[1][456/1410] acc_real: 0.015625, acc_fake: NA
